fec_id,state_abbr,first_name,last_name,name,party,inc,tot_rec
H6FL08254,FL,bill,stinson,bill stinson,Other,Challenger,20500.0
H6FL08213,FL,alan,grayson,alan grayson,Democrat,Incumbent,5015322.86
H6FL09146,FL,valleri,crabtree,valleri crabtree,Democrat,Open,66109.61
H6FL09153,FL,ricardo,rangel,ricardo rangel,Democrat,Open,31324.99
H6FL09161,FL,susannah,randolph,susannah randolph,Democrat,Open,780693.78
H6FL09179,FL,darren,soto,darren soto,Democrat,Open,1219140.66
H6FL09187,FL,dena,grayson,dena grayson,Democrat,Open,644570.01
H6FL09211,FL,jason,borders,jason borders,Democrat,Open,646.91
H6FL09195,FL,wayne,liebnitzky,wayne liebnitzky,Republican,Open,32471.39
H6FL09203,FL,wanda,rentas,wanda rentas,Republican,Open,17795.0
H2FL08063,FL,valdez,demings,valdez demings,Democrat,Challenger,165168.08
H6FL10136,FL,geraldine,thompson,geraldine thompson,Democrat,Challenger,202108.61
H6FL10151,FL,fatima,fahmy,fatima fahmy,Democrat,Challenger,31123.5
H6FL10169,FL,bob,poe,bob poe,Democrat,Challenger,2133927.8
H0FL08208,FL,daniel,webster,daniel webster,Republican,Incumbent,875287.5
H6FL05177,FL,thuy,lowe,thuy lowe,Republican,Challenger,50734.93
H4FL11071,FL,david,koller,david koller,Democrat,Open,49745.28
H0FL05139,FL,richard,nugent,richard nugent,Republican,Incumbent,55313.79
H6FL11217,FL,jack,martin,jack martin,Republican,Open,10320.0
H4FL11063,FL,matthew,schnackenberg,matthew schnackenberg,Other,Open,1611.0
H6FL12181,FL,robert,tager,robert tager,Democrat,Challenger,47918.0
H6FL09070,FL,gus,bilirakis,gus bilirakis,Republican,Incumbent,1414045.95
H6FL13189,FL,eric,lynn,eric lynn,Democrat,Challenger,798855.36
H6FL13205,FL,charlie,crist,charlie crist,Democrat,Challenger,2081442.29
H4FL13101,FL,david,jolly,david jolly,Republican,Incumbent,1989867.96
H4FL13135,FL,mark,bircher,mark bircher,Republican,Challenger,48491.0
H6FL11126,FL,kathy,castor,kathy castor,Democrat,Incumbent,735013.13
H6FL11175,FL,eddie,adams,eddie adams,Republican,Challenger,1893.77
H6FL14104,FL,evelio,gonzalez,evelio gonzalez,Republican,Challenger,2940.98
H6FL14112,FL,christine,quinn,christine quinn,Republican,Challenger,33107.49
H6FL15150,FL,james,lange,james lange,Democrat,Challenger,39917.88
H0FL12101,FL,dennis,ross,dennis ross,Republican,Incumbent,1220745.57
H2FL13139,FL,jan,schneider,jan schneider,Democrat,Challenger,70872.65
