state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner
FL,Florida,14,H6FL14112,christine,quinn,christine quinn,Republican,121088,0.382129343562329,0
FL,Florida,15,H0FL12101,dennis,ross,dennis ross,Republican,182999,0.57461205624321,1
FL,Florida,15,H6FL15150,jim,lange,jim lange,Democrat,135475,0.42538794375679,0
FL,Florida,16,H6FL13148,vern,buchanan,vern buchanan,Republican,230654,0.597679287720644,1
FL,Florida,16,H2FL13139,jan,schneider,jan schneider,Democrat,155262,0.402320712279356,0
FL,Florida,17,H8FL16022,tom,rooney,tom rooney,Republican,209348,0.618138333210305,1
FL,Florida,17,H4FL19058,april,freeman,april freeman,Democrat,115974,0.342434487340371,0
FL,Florida,17,H2FL14160,john,sawyer,john sawyer,Other,13353,0.0394271794493246,0
FL,Florida,18,H6FL18097,brian,mast,brian mast,Republican,201488,0.535989231694146,1
FL,Florida,18,H6FL18147,randy,perkins,randy perkins,Democrat,161918,0.430726913848233,0
FL,Florida,18,H6FL18121,carla,spalding,carla spalding,Other,12503,0.0332599130661474,0
FL,Florida,18,H6FL18196,marilyn,holloman,marilyn holloman,Other,9,2.39413914736725e-05,0
FL,Florida,19,H6FL19087,francis,rooney,francis rooney,Republican,239225,0.658720805361735,1
FL,Florida,19,H4FL14091,robert,neeld,robert neeld,Democrat,123812,0.340923985174824,0
FL,Florida,19,H6FL19103,david,byron,david byron,Other,109,0.0003001382287989,0
FL,Florida,19,H4FL19082,timothy,rossano,timothy rossano,Other,20,5.50712346420094e-05,0
FL,Florida,20,H2FL23021,alcee,hastings,alcee hastings,Democrat,222914,0.803120046116155,1
FL,Florida,20,H6FL20051,gary,stein,gary stein,Republican,54646,0.196879953883845,0
FL,Florida,21,H2FL14053,lois,frankel,lois frankel,Democrat,210606,0.627062981411953,1
FL,Florida,21,H4FL22110,paul,spain,paul spain,Republican,118038,0.351448962517232,0
FL,Florida,21,H2FL21066,michael,trout,michael trout,Other,7217,0.021488056070815,0
FL,Florida,22,H0FL19080,ted,deutch,ted deutch,Democrat,199113,0.589353263282522,1
FL,Florida,22,H4FL22086,andrea,mcgee,andrea mcgee,Republican,138737,0.410646736717478,0
FL,Florida,23,H4FL20023,debbie,schultz,debbie schultz,Democrat,183225,0.567049393414212,1
FL,Florida,23,H2FL20043,joseph,kaufman,joseph kaufman,Republican,130818,0.404858875959396,0
FL,Florida,23,H6FL23089,don,endriss,don endriss,Other,5180,0.0160311958405546,0
FL,Florida,23,H6FL23097,lyle,milstein,lyle milstein,Other,3897,0.0120605347858381,0
FL,Florida,24,H0FL17068,frederica,wilson,frederica wilson,Democrat,Unopposed,1.0,1
FL,Florida,25,H2FL25018,mario,diazbalart,mario diazbalart,Other,157921,0.623602116569262,1
FL,Florida,25,H6FL25027,alina,valdes,alina valdes,Democrat,95319,0.376397883430738,0
FL,Florida,26,H4FL26038,carlos,curbelo,carlos curbelo,Other,148547,0.529500039209815,1
FL,Florida,26,H8FL25015,joe,garcia,joe garcia,Democrat,115493,0.411678108803673,0
FL,Florida,26,H6FL26033,jose,peixoto,jose peixoto,Other,16502,0.0588218519865118,0
FL,Florida,27,H0FL18025,ileana,roslehtinen,ileana roslehtinen,Republican,157917,0.548938566517309,1
FL,Florida,27,H6FL27031,scott,fuhrman,scott fuhrman,Democrat,129760,0.451061433482691,0
GA,Georgia,1,H4GA01039,earl,carter,earl carter,Republican,Unopposed,0.995883701542309,1
GA,Georgia,1,H2GA01223,nathan,russo,nathan russo,Other,869,0.0041162984576907,0
GA,Georgia,2,H2GA02031,sanford,bishop,sanford bishop,Democrat,148543,0.612298484330109,1
GA,Georgia,2,H4GA02060,greg,duke,greg duke,Republican,94056,0.387701515669891,0
GA,Georgia,3,H6GA03113,drew,ferguson,drew ferguson,Republican,207218,0.683465979741876,1
GA,Georgia,3,H6GA03154,angela,pendley,angela pendley,Democrat,95969,0.316534020258125,0
GA,Georgia,4,H6GA04129,henry,johnson,henry johnson,Democrat,220146,0.75719459721606,1
GA,Georgia,4,H6GA04152,victor,armendariz,victor armendariz,Republican,70593,0.24280540278394,0
GA,Georgia,5,H6GA05217,john,lewis,john lewis,Democrat,253781,0.844391430349128,1
GA,Georgia,5,H6GA05290,douglas,bell,douglas bell,Republican,46768,0.155608569650872,0
GA,Georgia,6,H4GA06087,tom,price,tom price,Republican,201088,0.616824895323691,1
GA,Georgia,6,H6GA06124,rodney,stooksbury,rodney stooksbury,Democrat,124917,0.383175104676309,0
GA,Georgia,7,H0GA07133,rob,woodall,rob woodall,Republican,174081,0.603816844201026,1
